INSCRICAO;CPF;NOME;NOTA;POS_AMPLA;POS_NEGRO;POS_PCD;CARGO;AREA;CARREIRA;NIVEL;EMAIL;TELEFONE;CELULAR;ENDERECO
2026000;621.971.253-75;ADRIANA RODRIGUES FERREIRA;67,42;1;1;1;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;adriana.rodrigues.ferreira@email.com;(71) 3319-4042;(71) 98985-2789;Rua SOUZA, 877, Ilheus-BA
2026001;356.440.949-62;JOSE RODRIGUES OLIVEIRA;75,16;2;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;jose.rodrigues.oliveira@email.com;(71) 3353-7494;(71) 99833-7784;Rua LIMA, 33, Juazeiro-BA
2026002;566.592.292-59;MARIA RODRIGUES FERREIRA;85,44;3;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;maria.rodrigues.ferreira@email.com;(71) 3391-5798;(71) 98424-1543;Rua NASCIMENTO, 682, Feira de Santana-BA
2026003;276.870.508-68;LEANDRO SOUZA RODRIGUES;93,76;4;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;leandro.souza.rodrigues@email.com;(71) 3350-8430;(71) 98662-5052;Rua FERREIRA, 84, Juazeiro-BA
2026004;154.469.984-30;BRUNO RODRIGUES ALMEIDA;73,38;5;1;;CONTADOR;GERAL;TECNICA;SUPERIOR;bruno.rodrigues.almeida@email.com;(71) 3348-8977;(71) 98854-7511;Rua RODRIGUES, 19, Salvador-BA
2026005;708.693.679-10;MONICA SILVA COSTA;93,33;6;;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;monica.silva.costa@email.com;(71) 3332-4236;(71) 98390-1557;Rua FERREIRA, 48, Juazeiro-BA
2026006;327.565.957-28;MARCOS SANTOS SANTOS;65,29;7;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;marcos.santos.santos@email.com;(71) 3349-4106;(71) 98723-9348;Rua NASCIMENTO, 590, Jequie-BA
2026007;955.239.414-55;MONICA SANTOS OLIVEIRA;75,68;8;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;monica.santos.oliveira@email.com;(71) 3310-7295;(71) 99361-1334;Rua COSTA, 751, Juazeiro-BA
2026008;740.529.773-98;LEANDRO SOUZA LIMA;80,11;9;2;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;leandro.souza.lima@email.com;(71) 3325-1995;(71) 99953-9107;Rua COSTA, 485, Feira de Santana-BA
2026009;398.453.778-11;CAMILA ALMEIDA SILVA;69,47;10;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;camila.almeida.silva@email.com;(71) 3374-4965;(71) 99807-5419;Rua COSTA, 365, Juazeiro-BA
2026010;949.557.716-17;BRUNO NASCIMENTO ALMEIDA;80,18;11;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;bruno.nascimento.almeida@email.com;(71) 3374-7510;(71) 99745-2635;Rua COSTA, 667, Salvador-BA
2026011;587.717.871-31;FERNANDA COSTA COSTA;69,55;12;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;fernanda.costa.costa@email.com;(71) 3384-5724;(71) 98741-2837;Rua SANTOS, 7, Juazeiro-BA
2026012;151.401.574-18;ANDRE SANTOS OLIVEIRA;64,01;13;3;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;andre.santos.oliveira@email.com;(71) 3349-3819;(71) 98978-6091;Rua SANTOS, 412, Ilheus-BA
2026013;102.892.810-59;FERNANDA RODRIGUES ALMEIDA;69,58;14;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;fernanda.rodrigues.almeida@email.com;(71) 3363-3376;(71) 99537-3461;Rua SOUZA, 910, Vitoria da Conquista-BA
2026014;828.273.699-72;MONICA SANTOS RODRIGUES;60,67;15;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;monica.santos.rodrigues@email.com;(71) 3367-2527;(71) 99110-2978;Rua SILVA, 201, Jequie-BA
2026015;501.235.234-33;ADRIANA COSTA SOUZA;88,54;16;;1;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;adriana.costa.souza@email.com;(71) 3366-4674;(71) 99166-6287;Rua LIMA, 519, Jequie-BA
2026016;779.382.625-19;ANA ALMEIDA SILVA;70,29;17;4;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;ana.almeida.silva@email.com;(71) 3320-7678;(71) 98406-8966;Rua RODRIGUES, 388, Jequie-BA
2026017;519.480.121-39;PEDRO SANTOS FERREIRA;67,85;18;;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;pedro.santos.ferreira@email.com;(71) 3341-1130;(71) 99620-7475;Rua RODRIGUES, 258, Vitoria da Conquista-BA
2026018;221.653.799-19;MONICA COSTA NASCIMENTO;71,99;19;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;monica.costa.nascimento@email.com;(71) 3354-8238;(71) 98186-9140;Rua ALMEIDA, 93, Feira de Santana-BA
2026019;411.937.187-94;MARCOS NASCIMENTO SOUZA;80,54;20;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;marcos.nascimento.souza@email.com;(71) 3399-5436;(71) 99598-5599;Rua ALMEIDA, 29, Juazeiro-BA
2026020;911.406.112-88;FERNANDA OLIVEIRA OLIVEIRA;94,86;21;5;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;fernanda.oliveira.oliveira@email.com;(71) 3344-2188;(71) 98434-8386;Rua ALMEIDA, 989, Feira de Santana-BA
2026021;150.617.960-68;BRUNO COSTA FERREIRA;68,42;22;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;bruno.costa.ferreira@email.com;(71) 3327-1422;(71) 99409-3191;Rua SOUZA, 437, Vitoria da Conquista-BA
2026022;999.128.155-66;PATRICIA RODRIGUES SILVA;62,76;23;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;patricia.rodrigues.silva@email.com;(71) 3332-8590;(71) 99194-6524;Rua SOUZA, 482, Ilheus-BA
